domain,zone,status,summary
gy.ml,ml,undelegated,country geo
gz.ml,ml,undelegated,country geo
ha.ml,ml,undelegated,country geo
hb.ml,ml,undelegated,country geo
hc.ml,ml,undelegated,country geo
hd.ml,ml,unknown,country geo
he.ml,ml,undelegated,country geo
hf.ml,ml,undelegated,country geo
hg.ml,ml,undelegated,country geo
hh.ml,ml,undelegated,country geo
hi.ml,ml,undelegated,country geo
hj.ml,ml,undelegated,country geo
hk.ml,ml,undelegated,country geo
hl.ml,ml,undelegated,country geo
hm.ml,ml,undelegated,country geo
hn.ml,ml,undelegated,country geo
ho.ml,ml,undelegated,country geo
hp.ml,ml,undelegated,country geo
hq.ml,ml,undelegated,country geo
hr.ml,ml,unknown,country geo
hs.ml,ml,undelegated,country geo
ht.ml,ml,active,country geo
hu.ml,ml,undelegated,country geo
hv.ml,ml,undelegated,country geo
hw.ml,ml,undelegated,country geo
hx.ml,ml,undelegated,country geo
hy.ml,ml,undelegated,country geo
hz.ml,ml,unknown,country geo
ia.ml,ml,undelegated,country geo
ib.ml,ml,undelegated,country geo
ic.ml,ml,undelegated,country geo
id.ml,ml,undelegated,country geo
ie.ml,ml,undelegated,country geo
if.ml,ml,,country geo
ig.ml,ml,undelegated,country geo
ih.ml,ml,undelegated,country geo
ii.ml,ml,undelegated,country geo
ij.ml,ml,undelegated,country geo
ik.ml,ml,undelegated,country geo
il.ml,ml,undelegated,country geo
im.ml,ml,undelegated,country geo
in.ml,ml,undelegated,country geo
io.ml,ml,undelegated,country geo
ip.ml,ml,undelegated,country geo
iq.ml,ml,unknown,country geo
ir.ml,ml,unknown,country geo
is.ml,ml,undelegated,country geo
it.ml,ml,undelegated,country geo
iu.ml,ml,undelegated,country geo
iv.ml,ml,undelegated,country geo
iw.ml,ml,,country geo
ix.ml,ml,undelegated,country geo
iy.ml,ml,undelegated,country geo
iz.ml,ml,undelegated,country geo
ja.ml,ml,undelegated,country geo
jb.ml,ml,undelegated,country geo
jc.ml,ml,undelegated,country geo
jd.ml,ml,undelegated,country geo
je.ml,ml,undelegated,country geo
jf.ml,ml,undelegated,country geo
jg.ml,ml,undelegated,country geo
jh.ml,ml,undelegated,country geo
ji.ml,ml,unknown,country geo
jj.ml,ml,undelegated,country geo
jk.ml,ml,undelegated,country geo
jl.ml,ml,undelegated,country geo
jm.ml,ml,undelegated,country geo
jn.ml,ml,undelegated,country geo
jo.ml,ml,undelegated,country geo
jp.ml,ml,undelegated,country geo
jq.ml,ml,undelegated,country geo
jr.ml,ml,undelegated,country geo
js.ml,ml,undelegated,country geo
jt.ml,ml,,country geo
ju.ml,ml,undelegated,country geo
jv.ml,ml,unknown,country geo
jw.ml,ml,undelegated,country geo
jx.ml,ml,undelegated,country geo
jy.ml,ml,undelegated,country geo
jz.ml,ml,undelegated,country geo
ka.ml,ml,undelegated,country geo
kb.ml,ml,undelegated,country geo
kc.ml,ml,undelegated,country geo
kd.ml,ml,undelegated,country geo
ke.ml,ml,undelegated,country geo
kf.ml,ml,,country geo
kg.ml,ml,undelegated,country geo
kh.ml,ml,undelegated,country geo
ki.ml,ml,undelegated,country geo
kj.ml,ml,undelegated,country geo
kk.ml,ml,undelegated,country geo
kl.ml,ml,undelegated,country geo
km.ml,ml,undelegated,country geo
kn.ml,ml,undelegated,country geo
ko.ml,ml,undelegated,country geo
kp.ml,ml,undelegated,country geo
kq.ml,ml,undelegated,country geo
kr.ml,ml,undelegated,country geo
ks.ml,ml,undelegated,country geo
kt.ml,ml,undelegated,country geo
ku.ml,ml,undelegated,country geo
kv.ml,ml,unknown,country geo
kw.ml,ml,undelegated,country geo
kx.ml,ml,,country geo
ky.ml,ml,undelegated,country geo
kz.ml,ml,undelegated,country geo
la.ml,ml,unknown,country geo
lb.ml,ml,undelegated,country geo
lc.ml,ml,undelegated,country geo
ld.ml,ml,undelegated,country geo
le.ml,ml,undelegated,country geo
lf.ml,ml,undelegated,country geo
lg.ml,ml,undelegated,country geo
lh.ml,ml,undelegated,country geo
li.ml,ml,undelegated,country geo
lj.ml,ml,undelegated,country geo
lk.ml,ml,undelegated,country geo
ll.ml,ml,undelegated,country geo
lm.ml,ml,undelegated,country geo
ln.ml,ml,undelegated,country geo
lo.ml,ml,undelegated,country geo
lp.ml,ml,undelegated,country geo
lq.ml,ml,undelegated,country geo
lr.ml,ml,undelegated,country geo
ls.ml,ml,undelegated,country geo
lt.ml,ml,undelegated,country geo
lu.ml,ml,undelegated,country geo
lv.ml,ml,undelegated,country geo
lw.ml,ml,undelegated,country geo
lx.ml,ml,unknown,country geo
ly.ml,ml,undelegated,country geo
lz.ml,ml,undelegated,country geo
ma.ml,ml,unknown,country geo
mb.ml,ml,,country geo
mc.ml,ml,active,country geo
md.ml,ml,undelegated,country geo
me.ml,ml,undelegated,country geo
mf.ml,ml,undelegated,country geo
mg.ml,ml,undelegated,country geo
mh.ml,ml,undelegated,country geo
mi.ml,ml,undelegated,country geo
mj.ml,ml,undelegated,country geo
mk.ml,ml,undelegated,country geo
ml.ml,ml,active,country geo
mm.ml,ml,unknown,country geo
mn.ml,ml,undelegated,country geo
mo.ml,ml,undelegated,country geo
mp.ml,ml,undelegated,country geo
mq.ml,ml,undelegated,country geo
mr.ml,ml,undelegated,country geo
ms.ml,ml,unknown,country geo
mt.ml,ml,undelegated,country geo
mu.ml,ml,undelegated,country geo
mv.ml,ml,undelegated,country geo
mw.ml,ml,undelegated,country geo
mx.ml,ml,undelegated,country geo
my.ml,ml,marketed active parked,country geo
mz.ml,ml,undelegated,country geo
na.ml,ml,undelegated,country geo
nb.ml,ml,undelegated,country geo
nc.ml,ml,undelegated,country geo
nd.ml,ml,undelegated,country geo
ne.ml,ml,unknown,country geo
nf.ml,ml,undelegated,country geo
ng.ml,ml,active,country geo
nh.ml,ml,undelegated,country geo
ni.ml,ml,undelegated,country geo
nj.ml,ml,undelegated,country geo
nk.ml,ml,undelegated,country geo
nl.ml,ml,undelegated,country geo
nm.ml,ml,undelegated,country geo
nn.ml,ml,unknown,country geo
no.ml,ml,undelegated,country geo
np.ml,ml,undelegated,country geo
nq.ml,ml,undelegated,country geo
nr.ml,ml,unknown,country geo
ns.ml,ml,active,country geo
nt.ml,ml,undelegated,country geo
nu.ml,ml,unknown,country geo
nv.ml,ml,undelegated,country geo
nw.ml,ml,undelegated,country geo
nx.ml,ml,undelegated,country geo
ny.ml,ml,undelegated,country geo
nz.ml,ml,undelegated,country geo
oa.ml,ml,undelegated,country geo
ob.ml,ml,undelegated,country geo
oc.ml,ml,undelegated,country geo
od.ml,ml,unknown,country geo
oe.ml,ml,undelegated,country geo
of.ml,ml,undelegated,country geo
og.ml,ml,undelegated,country geo
oh.ml,ml,undelegated,country geo
oi.ml,ml,undelegated,country geo
oj.ml,ml,undelegated,country geo
ok.ml,ml,undelegated,country geo
ol.ml,ml,undelegated,country geo
om.ml,ml,undelegated,country geo
on.ml,ml,undelegated,country geo
oo.ml,ml,undelegated,country geo
op.ml,ml,undelegated,country geo
oq.ml,ml,undelegated,country geo
or.ml,ml,undelegated,country geo
os.ml,ml,marketed active parked,country geo
ot.ml,ml,undelegated,country geo
ou.ml,ml,undelegated,country geo
ov.ml,ml,unknown,country geo
ow.ml,ml,undelegated,country geo
ox.ml,ml,undelegated,country geo
oy.ml,ml,,country geo
oz.ml,ml,undelegated,country geo
pa.ml,ml,undelegated,country geo
pb.ml,ml,undelegated,country geo
pc.ml,ml,active,country geo
pd.ml,ml,undelegated,country geo
pe.ml,ml,undelegated,country geo
pf.ml,ml,undelegated,country geo
pg.ml,ml,undelegated,country geo
ph.ml,ml,undelegated,country geo
pi.ml,ml,undelegated,country geo
pj.ml,ml,undelegated,country geo
