domain,zone,status,summary
nb.fo,fo,active,active
nc.fo,fo,active,active
nd.fo,fo,undelegated inactive,inactive
ne.fo,fo,active,active
nf.fo,fo,active,active
ng.fo,fo,active,active
nh.fo,fo,active,active
ni.fo,fo,undelegated inactive,inactive
nj.fo,fo,undelegated inactive,inactive
nk.fo,fo,active,active
nl.fo,fo,undelegated inactive,inactive
nm.fo,fo,undelegated inactive,inactive
nn.fo,fo,active,active
no.fo,fo,marketed priced active,active
np.fo,fo,active,active
nq.fo,fo,undelegated inactive,inactive
nr.fo,fo,active,active
ns.fo,fo,active,active
nt.fo,fo,active,active
nu.fo,fo,undelegated active,active
nv.fo,fo,undelegated inactive,inactive
nw.fo,fo,undelegated inactive,inactive
nx.fo,fo,active,active
ny.fo,fo,active,active
nz.fo,fo,undelegated inactive,inactive
oa.fo,fo,active,active
ob.fo,fo,active,active
oc.fo,fo,active,active
od.fo,fo,undelegated inactive,inactive
oe.fo,fo,undelegated inactive,inactive
of.fo,fo,active,active
og.fo,fo,active,active
oh.fo,fo,active,active
oi.fo,fo,undelegated inactive,inactive
oj.fo,fo,undelegated inactive,inactive
ok.fo,fo,active,active
ol.fo,fo,active,active
om.fo,fo,active,active
on.fo,fo,active,active
oo.fo,fo,active,active
op.fo,fo,active,active
oq.fo,fo,undelegated inactive,inactive
or.fo,fo,active,active
os.fo,fo,active,active
ot.fo,fo,active,active
ou.fo,fo,undelegated inactive,inactive
ov.fo,fo,active,active
ow.fo,fo,undelegated inactive,inactive
ox.fo,fo,active,active
oy.fo,fo,active,active
oz.fo,fo,undelegated inactive,inactive
pa.fo,fo,marketed active,active
pb.fo,fo,undelegated inactive,inactive
pc.fo,fo,active,active
pd.fo,fo,active,active
pe.fo,fo,active,active
pf.fo,fo,active,active
pg.fo,fo,active,active
ph.fo,fo,active,active
pi.fo,fo,active,active
pj.fo,fo,undelegated inactive,inactive
pk.fo,fo,undelegated inactive,inactive
pl.fo,fo,active,active
pm.fo,fo,active,active
pn.fo,fo,active,active
po.fo,fo,active,active
pp.fo,fo,marketed undelegated active,active
pq.fo,fo,undelegated inactive,inactive
pr.fo,fo,active,active
ps.fo,fo,active,active
pt.fo,fo,undelegated inactive,inactive
pu.fo,fo,undelegated inactive,inactive
